name,division,location,notice_date,start_day,end_day,release_date,rink
보령웅천 행복주택 추가,국민,충청남도 보령시 웅천읍 장터중앙길 190,2020-03-13,2020-03-23,2020-03-27,2020-06-16,http://lh.or.kr
행정중심복합도시 2-1생활권 M6블록 국민임대주택 추가 (세종),국민,세종특별자치시 다정동 363-160,2020-03-23,2020-04-06,2020-04-10,2020-06-26,https://apply.lh.or.kr
안성아양 A2-1블록 행복주택 추가 (안성),국민,경기도 안성시 아양동 414,2020-03-12,2020-03-25,2020-03-30,2020-07-07,
간석 한신더휴 행복주택(인천),국민,"인천광역시 남동구 석정로461번길 50 (간석동, 간석한신더휴아파트)",2020-03-09,2020-03-16,2020-03-24,2020-06-15,
인천검단신도시3차 노블랜드 리버파크,민영,인천광역시 서구 검단신도시 AB10블럭,2020-03-27,2020-04-06,2020-04-08,2020-04-14,http://www.nobleland-gd3.co.kr/
힐스테이트 송도 더스카이,민영,인천광역시 연수구 인천타워대로 323 (송도동),2020-03-13,2020-03-23,2020-03-25,2020-04-01,http://www.hs-songdo-thesky.co.kr
원주 세경3차 아파트,국민,"강원도 원주시 백간길 63 (단계동, 세경3차아파트)",2020-03-13,2020-03-23,2020-03-25,2020-03-31,
화성동탄(2) A40BL 10년공공임대리츠,국민,경기도 화성시 금반1길 45 (반송동),2020-03-10,2020-03-18,2020-03-19,2020-03-20,https://www.lh.or.kr
송추 북한산 경남아너스빌,민영,경기도 양주시 장흥면 부곡리 524-2 일원,2020-03-13,2020-03-23,2020-03-25,2020-04-01,http://bukhansan.honorsville.co.kr
2020.04.16 (비수도권) 국민임대주택 예비입주자 정례모집,국민,비수도권 소재 국민임대주택,2020-04-16,2020-04-20,2020-05-20,2020-08-27,
2020.04.06 (수도권) 국민임대주택 예비입주자 정례모집,국민,수도권 소재 국민임대주택,2020-04-06,2020-04-13,2020-05-15,2020-08-07,
쌍용 더 플래티넘 해운대,민영,부산광역시 해운대구 중동 1369-8번지 외 7번지,2020-03-06,2020-03-16,2020-03-18,2020-03-24,https://www.ssyapt.com/apt/main/main.asp?Haeundae
"양주옥정 A-20(2), A-20(3) 10년공공임대주택리츠 잔여세대 입주자 및 예비입주자 모집공고 ",국민,경기도 양주시 옥정로 153-15 (옥정동),2020-03-02,2020-03-16,2020-03-17,2020-03-18,
양주고읍A13BBL 행복주택,국민,경기도 양주시 광사로 131-131 (광사동),2020-02-26,2020-03-09,2020-03-20,2020-06-05,
파주법원 행복주택 추가,국민,경기도 파주시 법원읍 법원로 12,2020-02-28,2020-03-12,2020-03-25,2020-06-16,
아산배방2 A-12블록 행복주택 추가모집,국민,충천남도 아산시 배방읍 장재리 1346,2020-02-28,2020-03-10,2020-03-16,2020-05-29,http://lh.or.kr
봉덕2차 화성파크드림,민영,대구광역시 남구 대덕로38길 46-1 (봉덕동),2020-03-13,2020-03-23,2020-03-25,2020-03-31,http://www.bd2-parkdream.com
공주영우2단지 10년임대,국민,"충청남도 공주시 원댕이길 8-10 (금학동, 영우마을2차 아파트)",2020-02-28,2020-03-03,2020-03-04,2020-03-05,
송도 베르디움퍼스트(RC-4) 외국인임대 분양전환 아파트,민영,"인천광역시 연수구 송도문화로84번길 84 (송도동, 베르디움 더퍼스트)",2020-02-28,2020-03-09,2020-03-10,2020-03-17,https://www.imcd.co.kr
송도 에듀포레푸르지오(RC-2) 외국인임대 분양전환 아파트,민영,"인천광역시 연수구 송도문화로84번길 24 (송도동, 송도 에듀포레 푸르지오)",2020-02-28,2020-03-09,2020-03-10,2020-03-16,https://www.imcd.co.kr
전주효자4-1단지 국민임대주택 예비,국민,"전라북도 전주시 완산구 호암로 2 (효자동2가, 효자휴먼시아1단지아파트)",2020-02-27,2020-03-05,2020-03-06,2020-07-07,
천안쌍용5-2단지 50년공공임대주택 예비,국민,"충청남도 천안시 서북구 봉서산샛길 64 (쌍용동, 쌍용마을뜨란채아파트)",2020-02-24,2020-03-03,2020-03-04,2020-04-23,
화성동탄2 A77-2블록 국민임대주택 추가,국민,경기도 화성시 동탄대로10길 11 (산척동),2020-02-28,2020-03-09,2020-03-16,2020-06-10,
영광 금호어울림 리더스,민영,전라남도 영광 학정리 593번지 일원,2020-02-28,2020-03-04,2020-03-06,2020-03-11,http://ygkhapt.com
쌍용 더 플래티넘 오목천역,민영,경기도 수원시 권선구 오목천동 482-2번지 일원,2020-02-28,2020-03-09,2020-03-12,2020-03-19,https://suwon.ssyapt.com
천안 청당 서희스타힐스,민영,충청남도 천안시 동남구 청당동 259-3번지 일원,2020-02-28,2020-03-09,2020-03-11,2020-03-17,http://www.cc-starhills.co.kr
포레나 부산 덕천,민영,부산광역시 북구 의성로95번길 43 (덕천동),2020-02-28,2020-03-10,2020-03-12,2020-03-19,https://hanwha.forena.co.kr/deokcheon/
승윤 노블리안 아파트,민영,경기도 부천시 심곡로34번길 38-12 (송내동),2020-07-03,2020-07-15,2020-07-17,2020-07-23,http://www.syoon.co.kr
화성동탄2 A77-1BL (행복주택) 추가,국민,경기도 화성시 동탄순환대로 10길 일원,2020-02-28,2020-03-09,2020-03-16,2020-06-10,
의정부고산S2-1BL(행복주택리츠) 추가,국민,경기도 의정부시 고산동 173번지 외,2020-02-25,2020-03-09,2020-03-16,2020-06-09,
청주가경4단지(국민임대) 예비,국민,"충청북도 청주시 서원구 대림로 459 (죽림동, 청주가경4주공아파트)",2020-02-20,2020-02-27,2020-02-28,2020-06-26,
